Descricao;Valor
Placa de Vídeo Gigabyte NVIDIA GeForce RTX 2060 D6 6G, GDDR6 - GV-N2060D6-6GD;['3.599,90']
Placa de Vídeo Zotac NVIDIA GeForce RTX 3060 Ti Twin Edge LHR, 8GB, 14.0 Gbps, GDDR6, DLSS, Ray Tracing - ZT-A30610E-10MLHR;['5.799,90']
Placa de Vídeo Zotac Gaming NVIDIA GeForce RTX 2060, 6GB, GDDR6 - ZT-T20600H-10M;['3.599,90']
Placa de Vídeo Gigabyte NVIDIA GeForce RTX 3080 Ti Eeagle, RGB, 12G GDDR6X, 19000MHz, DLSS, Ray Tracing - GV-N308TEAGLE-12GD;['12.399,90']
Placa de Vídeo ZOTAC GAMING GeForce RTX 3060 Twin Edge - 15 Gbps, 12GB, GDDR6, Ray Tracing - ZT-A30600E-10M;['4.699,90']
Placa de Vídeo Gigabyte Aorus NVIDIA GeForce RTX 3060 Ti Elite (rev. 2.0), RGB, 8G GDDR6, DLSS, Ray Tracing - GV-N306TAORUS E-8GD;['6.999,90']
Placa de Vídeo Asus NVIDIA GeForce Rog Strix RTX 3060 Ti O8G V2 Gaming, RGB, 8GB GDDR6, DLSS, LHR, Ray Tracing;['6.999,90']
Placa de Vídeo Zotac NVIDIA GeForce RTX 3070 Twin Edge, 8GB, GDDR6, LHR - ZT-A30700E-10PLHR;['7.499,90']
Placa de Vídeo GALAX GeForce RTX 3060 (1-Click OC) LHR, 15 Gbps, 12GB GDDR6, Ray Tracing, DLSS - 36NOL7MD1VOC;['4.999,90']
Placa de Vídeo Asus NVIDIA GeForce ROG Strix RTX 3060 O12G V2 Gaming OC Edition, 12GB GDDR6, DLSS, Ray Tracing;['5.199,90']
Placa de Vídeo Asus Dual NVIDIA GeForce RTX 3060 TI O8G Mini V2 OC, RGB, 8GB GDDR6, LHR, DLSS, Ray Tracing - 90YV0FT2-M0NA00;['4.999,90']
Placa de Vídeo Asus NVIDIA GeForce KO RTX 3060 OC V2 Edition, 12G GDDR6, 15Gbps, LHR, ARGB, DLSS, Ray Tracing - 90YV0GC7-M0NA10;['4.799,90']
Placa de Vídeo Asus NVIDIA Dual GeForce RTX 2060 EVO OC, 6GB, GDDR6 - DUAL-RTX2060-O6G-EVO;['4.299,90']
Placa de Vídeo Asus NVIDIA GeForce TUF RTX 3060 Ti O8G V2 Gaming, 8GB GDDR6, DLSS, LHR, Ray Tracing;['5.699,90']
Placa de Vídeo Asus NVIDIA GeForce ROG Strix RTX 3070 O8G V2 Gaming, 8GB GDDR6, DLSS, LHR, Ray Tracing, RGB;['7.999,90']
Placa de Vídeo Asus NVIDIA GeForce DUAL RTX 3060 Ti O8G V2, RGB, 8GB GDDR6, DLSS, LHR, Ray Tracing;['5.799,90']
